angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0.512	6.6854	0.090637	11.033
0.513	6.6839	0.090555	11.043
0.514	6.6824	0.090473	11.053
0.515	6.681	0.090392	11.063
0.516	6.6795	0.090311	11.073
0.517	6.678	0.090231	11.083
0.518	6.6765	0.090152	11.092
0.519	6.6751	0.090073	11.102
0.52	6.6736	0.089995	11.112
0.521	6.6721	0.089917	11.121
0.522	6.6707	0.08984	11.131
0.523	6.6692	0.089763	11.14
0.524	6.6678	0.089687	11.15
0.525	6.6663	0.089612	11.159
0.526	6.6649	0.089537	11.169
0.527	6.6634	0.089462	11.178
0.528	6.662	0.089388	11.187
0.529	6.6605	0.089315	11.196
0.53	6.6591	0.089242	11.205
0.531	6.6577	0.08917	11.215
0.532	6.6562	0.089098	11.224
0.533	6.6548	0.089027	11.233
0.534	6.6534	0.088956	11.242
0.535	6.652	0.088886	11.25
0.536	6.6506	0.088816	11.259
0.537	6.6491	0.088747	11.268
0.538	6.6477	0.088678	11.277
0.539	6.6463	0.08861	11.285
0.54	6.6449	0.088542	11.294
0.541	6.6435	0.088475	11.303
0.542	6.6421	0.088409	11.311
0.543	6.6407	0.088343	11.32
0.544	6.6393	0.088277	11.328
0.545	6.6379	0.088212	11.336
0.546	6.6366	0.088147	11.345
0.547	6.6352	0.088083	11.353
0.548	6.6338	0.08802	11.361
0.549	6.6324	0.087956	11.369
0.55	6.631	0.087894	11.377
0.551	6.6297	0.087832	11.385
0.552	6.6283	0.08777	11.393
0.553	6.6269	0.087709	11.401
0.554	6.6256	0.087648	11.409
0.555	6.6242	0.087588	11.417
0.556	6.6229	0.087528	11.425
0.557	6.6215	0.087469	11.433
0.558	6.6202	0.08741	11.44
0.559	6.6188	0.087352	11.448
0.56	6.6175	0.087294	11.456
0.561	6.6161	0.087237	11.463
0.562	6.6148	0.08718	11.471
0.563	6.6135	0.087123	11.478
0.564	6.6121	0.087067	11.485
0.565	6.6108	0.087012	11.493
0.566	6.6095	0.086957	11.5
0.567	6.6082	0.086902	11.507
