 	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	IntDen	Median	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret
53	35.5816	4002.9338	791.1507	2043	5576	6.7430	6.7186	80.4190	6.9261	142430.7487	3884	8886513.0000	832	920	59.2159	6.7098
54	29.6032	3631.2631	634.3700	2041	4931	6.1644	6.1145	167.8483	6.3072	107497.1604	3518	6706943.0000	674	15	128.4802	6.0768
55	36.1426	3556.1517	622.2869	2041	4906	6.7934	6.7739	143.4796	6.9400	128528.4285	3400	8019122.0000	939	46	104.7968	6.8364
56	35.1008	3818.6849	707.8966	2046	5297	6.7066	6.6639	100.9067	6.8843	134038.7346	3664	8362920.0000	739	62	122.2288	6.7098
57	30.5008	3293.4088	530.8697	2050	4473	6.2375	6.2260	162.9446	6.3980	100451.5888	3172	6267357.0000	80	104	27.0721	6.2034
58	26.5580	3258.0960	512.6106	2043	4394	5.8407	5.7895	11.2080	5.9985	86528.4165	3153	5398665.0000	14	162	44.1449	5.8236
59	12.5497	2968.9834	357.8997	2044	3648	4.0122	3.9826	74.1371	4.1528	37259.9191	2908	2324714.0000	682	264	52.4314	4.0512
60	34.9245	3796.4644	696.9408	2049	5289	6.6913	6.6456	10.3057	6.8247	132589.4419	3621	8272496.0000	350	294	40.4860	6.5832
61	14.0403	3172.6084	432.5697	2046	4058	4.2429	4.2134	175.2797	4.3947	44544.3842	3080	2779205.0000	608	299	131.4965	4.1778
62	26.6862	3709.9988	653.0865	2048	5023	5.8411	5.8170	6.0995	6.0039	99005.7421	3617	6177148.0000	783	337	132.4362	5.8236
63	20.5636	3282.6773	491.1078	2046	4324	5.1218	5.1119	27.4132	5.2885	67503.6455	3182	4211675.0000	195	449	42.0892	5.0640
64	46.4805	4016.7334	1067.6439	2025	6089	7.7134	7.6725	87.0040	7.8991	186699.6000	4013	11648527.0000	784	529	68.3691	7.7226
65	30.7092	3612.9796	627.7603	2041	4965	6.2753	6.2308	41.2298	6.4280	110951.5558	3489	6922469.0000	76	554	32.1250	6.2664
66	31.0938	3493.9608	582.7762	2049	4780	6.3070	6.2771	31.0009	6.4703	108640.5956	3388	6778284.0000	11	559	30.5792	6.3300
67	41.4958	3992.0548	1075.0779	2036	6006	7.2786	7.2588	113.8931	7.4769	165653.6184	4015	10335430.0000	777	597	118.3008	7.2162
68	22.9357	3443.9567	548.7428	2050	4568	5.4145	5.3934	34.9102	5.5618	78989.5591	3364	4928302.0000	232	660	41.3086	5.4438
69	20.7559	3565.9143	596.0365	2050	4715	5.1600	5.1216	71.3465	5.3006	74013.8584	3497	4617859.0000	438	661	40.1560	5.0640
70	28.1287	3574.6986	746.2136	1779	5087	6.0173	5.9519	139.6581	6.1528	100551.5859	3512	6273596.0000	310	634	126.6341	5.9502
71	35.0366	3963.7571	814.0796	2042	5594	6.7251	6.6334	101.7925	6.8983	138876.7569	3862	8664773.0000	788	717	132.7688	6.7098
72	21.5733	3651.4034	625.3607	2041	4805	5.2545	5.2275	109.7675	5.4187	78772.9762	3582	4914789.0000	479	762	127.4054	5.1906
73	24.4744	3741.1100	679.0357	2042	5099	5.5935	5.5711	158.8577	5.7586	91561.2882	3693	5712675.0000	614	813	146.6593	5.5704
74	31.6868	3691.0941	750.1128	2040	5178	6.5708	6.1400	55.8353	6.7858	116959.1386	3652	7297293.0000	690	948	53.3439	6.2034
75	26.6381	3614.9434	624.1315	2046	4803	5.8453	5.8024	108.2864	5.9758	96295.2584	3576	6008036.0000	591	919	126.3844	5.8236
76	33.6903	3361.0618	551.5395	2045	4609	6.5742	6.5249	78.8227	6.7110	113235.2367	3221	7064952.0000	131	982	54.2110	6.5832
77	24.9231	3449.5672	611.0987	2041	4708	5.8462	5.4280	70.6187	6.0900	85974.0489	3407	5364077.0000	672	997	69.3045	5.4438
78	32.3119	3682.3497	653.8762	2043	5145	6.4465	6.3819	90.3223	6.5845	118983.8272	3570	7423617.0000	456	958	127.9716	6.4481
79	17.3741	2793.4806	313.5754	2050	3458	4.7186	4.6881	96.8526	4.8721	48534.1382	2697	3028133.0000	47	977	114.5672	4.6842
80	26.6381	3680.6474	635.0639	2050	4946	5.8447	5.8030	5.4888	5.9758	98045.4880	3598	6117236.0000	570	41	36.3844	5.8236
81	35.0366	3948.0746	770.4092	2041	5561	6.6977	6.6605	142.0142	6.8622	138327.2939	3799	8630491.0000	758	25	142.4959	6.7098
82	31.4625	4047.5293	799.2704	2045	5686	6.3414	6.3171	59.8434	6.5073	127345.2284	3908	7945300.0000	354	152	37.0928	6.3300
83	30.1161	3697.4476	788.5511	2042	5140	6.3415	6.0467	58.5397	6.5356	111352.8103	3708	6947504.0000	973	194	58.4652	6.0768
84	20.6277	3432.1142	534.6335	2041	4499	5.1445	5.1053	43.3531	5.3187	70796.6416	3352	4417131.0000	194	207	38.2338	5.1906
85	45.7432	3975.7575	1137.3664	2041	6231	7.7228	7.5416	22.3272	7.8961	181863.7894	4067	11346812.0000	931	249	48.9005	7.5960
86	23.3364	3785.2253	661.6101	2044	5011	5.4754	5.4266	54.9586	5.6220	88333.5090	3726	5511288.0000	250	390	35.8377	5.4438
87	33.4018	4083.7020	811.1307	2044	5696	6.5521	6.4908	69.4783	6.6847	136403.0671	3957	8510435.0000	140	442	37.3039	6.4566
88	15.4988	3353.4054	495.3847	2041	4243	4.4520	4.4326	108.8146	4.5892	51973.8522	3296	3242743.0000	919	442	114.4440	4.4310
89	45.6310	4300.5163	1336.6083	2041	6879	7.6922	7.5530	51.4562	7.8798	196236.7964	4436	12243570.0000	706	521	66.3179	7.5960
90	42.5376	4228.3934	1332.5614	2041	6717	7.3695	7.3493	65.4732	7.5474	179865.8351	4393	11222156.0000	622	576	67.3062	7.4302
91	27.4074	3900.6316	1016.3940	2041	5565	5.9695	5.8458	119.0988	6.1294	106906.3297	4068	6670080.0000	704	557	141.7098	5.9502
92	23.0639	4012.9951	805.5753	2044	5388	5.4685	5.3700	76.1635	5.6220	92555.4089	4000	5774700.0000	464	624	54.1623	5.4438
93	31.7990	3877.6084	748.6454	2041	5399	6.3984	6.3278	110.2762	6.5503	123304.2337	3784	7693175.0000	13	610	131.0818	6.3300
94	39.7648	4201.7517	1216.8596	2041	6422	7.2723	6.9620	43.8649	7.4188	167081.9468	4314	10424546.0000	671	694	53.3257	7.0577
95	23.1921	3752.7775	699.7106	2042	5073	5.4817	5.3869	94.2044	5.6191	87034.9573	3734	5430269.0000	70	661	104.3493	5.4438
96	30.6130	3956.2927	764.4384	2047	5539	6.2660	6.2205	96.7238	6.4180	121113.9464	3880	7556519.0000	927	701	104.8586	6.2034
97	31.0938	4060.3304	1011.1638	2037	5796	6.3652	6.2197	69.6054	6.5405	126251.1907	4115	7877041.0000	525	776	75.4258	6.3272
