angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0.624	7.2576	0.15866	6.3028
0.625	7.2569	0.1586	6.3053
0.626	7.2563	0.15853	6.3079
0.627	7.2557	0.15847	6.3105
0.628	7.255	0.1584	6.3131
0.629	7.2544	0.15833	6.3157
0.63	7.2538	0.15827	6.3183
0.631	7.2531	0.1582	6.321
0.632	7.2525	0.15814	6.3236
0.633	7.2518	0.15807	6.3263
0.634	7.2512	0.158	6.3289
0.635	7.2505	0.15794	6.3316
0.636	7.2499	0.15787	6.3343
0.637	7.2492	0.1578	6.3369
0.638	7.2486	0.15774	6.3396
0.639	7.2479	0.15767	6.3423
0.64	7.2473	0.1576	6.345
0.641	7.2466	0.15754	6.3478
0.642	7.246	0.15747	6.3505
0.643	7.2453	0.1574	6.3532
0.644	7.2447	0.15733	6.3559
0.645	7.244	0.15727	6.3587
0.646	7.2434	0.1572	6.3614
0.647	7.2427	0.15713	6.3642
0.648	7.2421	0.15706	6.367
0.649	7.2414	0.15699	6.3697
0.65	7.2407	0.15692	6.3725
0.651	7.2401	0.15686	6.3753
0.652	7.2394	0.15679	6.3781
0.653	7.2387	0.15672	6.3809
0.654	7.2381	0.15665	6.3837
0.655	7.2374	0.15658	6.3865
0.656	7.2368	0.15651	6.3893
0.657	7.2361	0.15644	6.3921
0.658	7.2354	0.15637	6.3949
0.659	7.2347	0.1563	6.3978
0.66	7.2341	0.15624	6.4006
0.661	7.2334	0.15617	6.4034
0.662	7.2327	0.1561	6.4063
0.663	7.2321	0.15603	6.4091
0.664	7.2314	0.15596	6.412
0.665	7.2307	0.15589	6.4148
0.666	7.23	0.15582	6.4177
0.667	7.2294	0.15575	6.4205
0.668	7.2287	0.15568	6.4234
0.669	7.228	0.15561	6.4263
0.67	7.2273	0.15554	6.4292
0.671	7.2266	0.15547	6.432
0.672	7.226	0.1554	6.4349
0.673	7.2253	0.15533	6.4378
0.674	7.2246	0.15526	6.4407
0.675	7.2239	0.15519	6.4436
0.676	7.2232	0.15512	6.4465
0.677	7.2225	0.15505	6.4494
0.678	7.2219	0.15498	6.4523
0.679	7.2212	0.15491	6.4552
0.68	7.2205	0.15484	6.4581
0.681	7.2198	0.15477	6.461
0.682	7.2191	0.15471	6.4639
0.683	7.2184	0.15464	6.4668
0.684	7.2177	0.15457	6.4697
0.685	7.217	0.1545	6.4726
0.686	7.2163	0.15443	6.4756
0.687	7.2157	0.15436	6.4785
0.688	7.215	0.15429	6.4814
